Column,Data-type,Description
ID1,Character,Range from which population was obtained (invasive UK or native US)
ID2,Character,"Original population code--created prior to selecting populations for use in thermal performance experiments. ""I"" indicates invasive UK, and ""N"" incidates native North America."
ID3,Character,"New population code--created after selecting populations for use in thermal performance experiments. ""I"" indicates invasive UK, and ""N"" incidates native North America. Numbers following ""I"" or ""N"" are based on latitude, where ""1"" indicates the lowest latitude. "
bio_1,Numeric,Annual Mean Temperature (°C *10)
bio_2,Numeric,Mean Diurnal Range (Mean of monthly (max temp - min temp))  (°C *10)
bio_3,Numeric,Isothermality (BIO2/BIO7) (×100)
bio_4,Numeric,Temperature Seasonality °C  (standard deviation ×100)
bio_5,Numeric,Max Temperature of Warmest Month (°C *10)
bio_6,Numeric,Min Temperature of Coldest Month (°C*10 )
bio_7,Numeric,Temperature Annual Range (BIO5-BIO6) (°C*10 )
bio_8,Numeric,Mean Temperature of Wettest Quarter (°C *10)
bio_9,Numeric,Mean Temperature of Driest Quarter (°C *10)
bio_10,Numeric,Mean Temperature of Warmest Quarter (°C *10)
bio_11,Numeric,Mean Temperature of Coldest Quarter (°C *10)
bio_12,Numeric,Annual Precipitation (mm)
bio_13,Numeric,Precipitation of Wettest Month (mm)
bio_14,Numeric,Precipitation of Driest Month (mm)
bio_15,Numeric, Precipitation Seasonality (Coefficient of Variation)
bio_16,Numeric,Precipitation of Wettest Quarter (mm)
bio_17,Numeric,Precipitation of Driest Quarter (mm)
bio_18,Numeric,Precipitation of Warmest Quarter (mm)
bio_19,Numeric,Precipitation of Coldest Quarter (mm)
Longitude,Numeric,Longitude in decimal degrees (°W)
Latitude,Numeric,Latitude in decimal degrees (°N)
